year,round,lap,driver,position,laptime
2023,3,1,russell,1,97.854
2023,3,1,hamilton,2,100.229
2023,3,1,max_verstappen,3,101.571
2023,3,1,sainz,4,103.866
2023,3,1,alonso,5,105.543
2023,3,1,albon,6,106.373
2023,3,1,stroll,7,108.052
2023,3,1,gasly,8,110.293
2023,3,1,hulkenberg,9,111.408
2023,3,1,tsunoda,10,113.776
2023,3,1,norris,11,116.566
2023,3,1,kevin_magnussen,12,118.026
2023,3,1,piastri,13,118.915
2023,3,1,de_vries,14,119.887
2023,3,1,ocon,15,122.304
2023,3,1,zhou,16,129.967
2023,3,1,sargeant,17,131.454
2023,3,1,perez,18,132.096
2023,3,1,bottas,19,137.156
2023,3,2,russell,1,133.298
2023,3,2,hamilton,2,132.287
2023,3,2,max_verstappen,3,132.105
2023,3,2,sainz,4,131.411
2023,3,2,alonso,5,130.728
2023,3,2,albon,6,130.798
2023,3,2,stroll,7,131.142
2023,3,2,gasly,8,131.323
2023,3,2,hulkenberg,9,131.316
2023,3,2,tsunoda,10,130.201
2023,3,2,norris,11,127.813
2023,3,2,kevin_magnussen,12,127.597
2023,3,2,piastri,13,127.15
2023,3,2,de_vries,14,127.5
2023,3,2,ocon,15,126.286
2023,3,2,zhou,16,119.863
2023,3,2,bottas,17,114.147
2023,3,2,perez,18,131.789
2023,3,2,sargeant,19,133.1
2023,3,3,russell,1,132.017
2023,3,3,hamilton,2,131.362
2023,3,3,max_verstappen,3,130.657
2023,3,3,sainz,4,129.958
2023,3,3,alonso,5,129.502
2023,3,3,albon,6,129.355
2023,3,3,stroll,7,127.757
2023,3,3,gasly,8,125.832
2023,3,3,hulkenberg,9,125.204
2023,3,3,tsunoda,10,124.796
2023,3,3,norris,11,124.797
2023,3,3,kevin_magnussen,12,124.025
2023,3,3,piastri,13,124.169
2023,3,3,de_vries,14,123.952
2023,3,3,ocon,15,123.289
2023,3,3,zhou,16,123.71
2023,3,3,bottas,17,122.845
2023,3,3,perez,18,110.649
2023,3,3,sargeant,19,110.807
2023,3,4,russell,1,83.134
2023,3,4,hamilton,2,83.295
2023,3,4,max_verstappen,3,83.39099999999999
2023,3,4,sainz,4,83.889
2023,3,4,alonso,5,84.293
2023,3,4,albon,6,84.327
2023,3,4,stroll,7,84.385
2023,3,4,gasly,8,84.67099999999999
2023,3,4,hulkenberg,9,84.833
2023,3,4,tsunoda,10,85.299
2023,3,4,norris,11,85.444
2023,3,4,kevin_magnussen,12,85.406
2023,3,4,piastri,13,85.428
2023,3,4,de_vries,14,85.259
2023,3,4,ocon,15,85.60300000000001
2023,3,4,zhou,16,85.20400000000001
2023,3,4,perez,17,85.108
2023,3,4,bottas,18,86.356
2023,3,4,sargeant,19,85.804
2023,3,5,russell,1,83.134
2023,3,5,hamilton,2,83.17
2023,3,5,max_verstappen,3,83.104
2023,3,5,sainz,4,83.217
2023,3,5,alonso,5,83.28999999999999
2023,3,5,albon,6,83.639
2023,3,5,stroll,7,83.937
2023,3,5,gasly,8,84.28999999999999
2023,3,5,hulkenberg,9,84.295
2023,3,5,tsunoda,10,84.62
2023,3,5,norris,11,84.732
2023,3,5,kevin_magnussen,12,85.054
2023,3,5,piastri,13,84.996
2023,3,5,de_vries,14,85.025
2023,3,5,ocon,15,84.974
2023,3,5,zhou,16,84.84700000000001
2023,3,5,perez,17,84.501
2023,3,5,bottas,18,84.849
2023,3,5,sargeant,19,85.136
2023,3,6,russell,1,83.15899999999999
2023,3,6,hamilton,2,82.89
2023,3,6,max_verstappen,3,82.843
2023,3,6,sainz,4,82.809
2023,3,6,alonso,5,82.60300000000001
2023,3,6,albon,6,83.349
2023,3,6,stroll,7,83.076
2023,3,6,gasly,8,83.529
2023,3,6,hulkenberg,9,83.539
2023,3,6,tsunoda,10,84.11
2023,3,6,norris,11,83.858
2023,3,6,kevin_magnussen,12,83.956
2023,3,6,piastri,13,84.05199999999999
2023,3,6,de_vries,14,84.18
2023,3,6,ocon,15,83.963
2023,3,6,perez,16,83.584
2023,3,6,zhou,17,84.856
2023,3,6,bottas,18,84.331
2023,3,6,sargeant,19,84.319
2023,3,7,hamilton,1,94.144
2023,3,7,max_verstappen,2,95.07
2023,3,7,alonso,3,95.355
2023,3,7,stroll,4,98.03
2023,3,7,gasly,5,96.571
2023,3,7,hulkenberg,6,99.166
2023,3,7,russell,7,107.537
2023,3,7,sainz,8,108.202
2023,3,7,tsunoda,9,101.839
2023,3,7,norris,10,102.393
2023,3,7,piastri,11,101.556
2023,3,7,de_vries,12,101.827
2023,3,7,ocon,13,101.541
2023,3,7,perez,14,101.11
2023,3,7,zhou,15,101.268
2023,3,7,bottas,16,103.169
2023,3,7,sargeant,17,102.694
2023,3,7,kevin_magnussen,18,117.79
2023,3,8,hamilton,1,172.32999999999998
2023,3,8,max_verstappen,2,1080.581
2023,3,8,alonso,3,1082.497
2023,3,8,stroll,4,1080.934
2023,3,8,gasly,5,1083.17
2023,3,8,hulkenberg,6,1081.953
2023,3,8,russell,7,1088.782
2023,3,8,tsunoda,8,1088.144
2023,3,8,norris,9,1091.111
2023,3,8,piastri,10,1092.634
2023,3,8,sainz,11,1099.71
2023,3,8,de_vries,12,1098.805
2023,3,8,ocon,13,1101.093
2023,3,8,perez,14,1103.263
2023,3,8,zhou,15,1106.059
2023,3,8,bottas,16,1105.148
2023,3,8,sargeant,17,1106.846
2023,3,8,kevin_magnussen,18,1105.117
2023,3,9,hamilton,1,1094.74
2023,3,9,max_verstappen,2,221.774
2023,3,9,alonso,3,217.692
2023,3,9,stroll,4,214.648
2023,3,9,gasly,5,212.5
2023,3,9,hulkenberg,6,210.948
2023,3,9,russell,7,203.766
2023,3,9,tsunoda,8,200.388
2023,3,9,norris,9,196.59
2023,3,9,piastri,10,194.742
2023,3,9,sainz,11,190.689
2023,3,9,de_vries,12,187.449
2023,3,9,perez,13,181.911
2023,3,9,ocon,14,184.973
2023,3,9,zhou,15,178.607
2023,3,9,sargeant,16,174.365
2023,3,9,bottas,17,176.53199999999998
2023,3,9,kevin_magnussen,18,167.847
2023,3,10,hamilton,1,123.62
