year,round,lap,driver,position,laptime
2022,1,1,leclerc,1,99.07
2022,1,1,max_verstappen,2,100.23599999999999
2022,1,1,sainz,3,101.006
2022,1,1,hamilton,4,101.555
2022,1,1,kevin_magnussen,5,102.333
2022,1,1,perez,6,102.993
2022,1,1,russell,7,103.445
2022,1,1,gasly,8,104.27000000000001
2022,1,1,alonso,9,105.174
2022,1,1,ocon,10,106.17
2022,1,1,albon,11,107.636
2022,1,1,tsunoda,12,108.128
2022,1,1,mick_schumacher,13,108.826
2022,1,1,bottas,14,109.195
2022,1,1,hulkenberg,15,109.69800000000001
2022,1,1,norris,16,110.088
2022,1,1,stroll,17,110.439
2022,1,1,latifi,18,111.134
2022,1,1,zhou,19,111.374
2022,1,1,ricciardo,20,111.601
2022,1,2,leclerc,1,97.85300000000001
2022,1,2,max_verstappen,2,97.88
2022,1,2,sainz,3,98.649
2022,1,2,hamilton,4,99.00200000000001
2022,1,2,kevin_magnussen,5,98.993
2022,1,2,perez,6,99.092
2022,1,2,russell,7,99.694
2022,1,2,gasly,8,100.169
2022,1,2,alonso,9,100.412
2022,1,2,ocon,10,100.11099999999999
2022,1,2,albon,11,100.548
2022,1,2,tsunoda,12,100.697
2022,1,2,mick_schumacher,13,100.72200000000001
2022,1,2,bottas,14,100.81700000000001
2022,1,2,hulkenberg,15,101.077
2022,1,2,stroll,16,101.019
2022,1,2,norris,17,102.279
2022,1,2,zhou,18,101.229
2022,1,2,latifi,19,102.298
2022,1,2,ricciardo,20,102.59
2022,1,3,leclerc,1,98.27199999999999
2022,1,3,max_verstappen,2,98.357
2022,1,3,sainz,3,99.049
2022,1,3,hamilton,4,99.075
2022,1,3,perez,5,99.473
2022,1,3,kevin_magnussen,6,101.22399999999999
2022,1,3,russell,7,99.725
2022,1,3,gasly,8,99.968
2022,1,3,alonso,9,100.226
2022,1,3,ocon,10,100.24799999999999
2022,1,3,albon,11,100.664
2022,1,3,tsunoda,12,100.618
2022,1,3,mick_schumacher,13,100.747
2022,1,3,bottas,14,100.732
2022,1,3,hulkenberg,15,100.638
2022,1,3,stroll,16,100.887
2022,1,3,zhou,17,100.18299999999999
2022,1,3,norris,18,101.785
2022,1,3,latifi,19,101.668
2022,1,3,ricciardo,20,101.711
2022,1,4,leclerc,1,98.414
2022,1,4,max_verstappen,2,98.566
2022,1,4,sainz,3,98.923
2022,1,4,hamilton,4,98.892
2022,1,4,perez,5,98.741
2022,1,4,kevin_magnussen,6,99.642
2022,1,4,russell,7,99.77199999999999
2022,1,4,gasly,8,100.158
2022,1,4,alonso,9,100.09700000000001
2022,1,4,ocon,10,100.209
2022,1,4,albon,11,101.126
2022,1,4,tsunoda,12,100.958
2022,1,4,mick_schumacher,13,101.163
2022,1,4,bottas,14,101.12700000000001
2022,1,4,hulkenberg,15,101.189
2022,1,4,zhou,16,100.393
2022,1,4,stroll,17,101.931
2022,1,4,norris,18,101.459
2022,1,4,latifi,19,101.947
2022,1,4,ricciardo,20,101.803
2022,1,5,leclerc,1,98.471
2022,1,5,max_verstappen,2,98.87700000000001
2022,1,5,sainz,3,99.101
2022,1,5,hamilton,4,98.923
2022,1,5,perez,5,98.86099999999999
